seed,run_id,validation_lm_loss,validation_perplexity,median_tokens_per_second,runtime_seconds,stories_lm_loss,wiki_lm_loss,code_lm_loss,math_lm_loss
1337,cexu0thw,3.093984365463257,22.0648173630525,46864.811876941036,3814.564750433,1.9938127374649048,4.216030812263488,2.5034045913815497,3.6622749119997025
2027,0h6uifsu,3.087493419647217,21.92205964663563,46699.675700429136,3830.93881789,1.992591152191162,4.218466489315033,2.487992129176855,3.6505147206783297
3407,vrvd3n66,3.0851454734802246,21.87064820997719,46709.68874370727,3829.432300295,1.988943983912468,4.212752758264542,2.4875879348814487,3.6508809500932697
4517,knrjjnyn,3.08475923538208,21.862202563527585,46682.39689257873,3833.167204702,1.9889670318365096,4.216471284627914,2.480754626095295,3.6524284455180167
5651,ybao9jl3,3.0846781730651855,21.86043043456278,46607.297132469954,3838.482585498,1.9857835268974304,4.207781130075455,2.487813525646925,3.656914095878601
