seed,step,router/layer0/shared_private_ratio,router/layer1/shared_private_ratio,router/layer2/shared_private_ratio,router/layer3/shared_private_ratio
1337,10,0.997124195098877,0.9948282837867737,1.006392240524292,0.9795816540718079
1337,20,1.026052474975586,0.9948303699493408,1.0071120262145996,1.0767525434494019
1337,30,1.0278120040893555,0.9786593914031982,0.9994136691093445,1.241416573524475
1337,40,1.040702223777771,0.9682982563972473,1.1086862087249756,1.3181421756744385
1337,50,1.0846035480499268,1.0519685745239258,1.1228388547897339,1.2836259603500366
1337,60,1.0638924837112427,0.951137900352478,1.0061463117599487,1.1476235389709473
1337,70,1.0171319246292114,0.8894433975219727,0.9790351390838623,1.0849581956863403
1337,80,1.0378981828689575,0.8246434926986694,0.9357576370239258,1.039119005203247
1337,90,1.0199012756347656,0.8579633831977844,1.1711368560791016,1.0736963748931885
1337,100,0.9797083139419556,0.9116929173469543,0.9442214965820312,1.0073691606521606
1337,110,1.016347050666809,0.8345093727111816,0.8762768507003784,1.162741780281067
1337,120,1.02083420753479,0.7757146954536438,0.7859443426132202,0.9393488168716431
1337,130,1.0483112335205078,0.9107260704040527,0.7707895040512085,1.0562028884887695
1337,140,1.133182168006897,0.8090575337409973,0.763875424861908,1.0652252435684204
1337,150,1.061221718788147,0.7890856862068176,0.7686046361923218,1.0634911060333252
1337,160,0.9054919481277466,0.7356135845184326,0.9169944524765015,0.9029094576835632
1337,170,0.9188277721405029,0.7342640161514282,0.7643414735794067,0.8602369427680969
1337,180,0.9069603681564331,0.6961403489112854,0.7500831484794617,0.8387633562088013
1337,190,0.9066704511642456,0.5995010137557983,0.7077808976173401,0.8021095395088196
1337,200,0.9383215308189392,0.6919040679931641,0.7755841016769409,0.7982950806617737
1337,210,0.8444612622261047,0.6908358335494995,0.7734099626541138,0.7575893998146057
1337,220,0.881504237651825,0.6899142861366272,0.7033858299255371,0.7634332776069641
1337,230,0.8859856724739075,0.7049810886383057,0.6975202560424805,0.773475170135498
1337,240,0.7949033379554749,0.6768700480461121,0.7020677328109741,0.7472176551818848
1337,250,0.8475024104118347,0.6592496633529663,0.6770121455192566,0.7757227420806885
1337,260,0.8204541802406311,0.7012189030647278,0.6621829271316528,0.77223801612854
1337,270,0.8180064558982849,0.6848502159118652,0.6606438159942627,0.7477489113807678
1337,280,0.8708197474479675,0.7302861213684082,0.6719585061073303,0.7681663036346436
1337,290,0.8617144823074341,0.6952222585678101,0.6573687195777893,0.8023000359535217
1337,300,0.8049566149711609,0.6748300194740295,0.6202917695045471,0.7465747594833374
1337,310,0.7935878038406372,0.6389200687408447,0.6395106315612793,0.7415947318077087
1337,320,0.8275026082992554,0.6875590085983276,0.6419896483421326,0.7677865028381348
1337,330,0.8394297361373901,0.6756061911582947,0.6394107937812805,0.7153080701828003
1337,340,0.9072614312171936,0.7154302597045898,0.6629592776298523,0.7257722020149231
1337,350,0.8655616044998169,0.7033526301383972,0.6294928789138794,0.6882925033569336
1337,360,0.8480556607246399,0.6895036101341248,0.6316491365432739,0.7267680764198303
1337,370,0.8588994741439819,0.6670157313346863,0.6163951754570007,0.7577509880065918
1337,380,0.830980122089386,0.6829564571380615,0.5846959352493286,0.7354931831359863
1337,390,0.8905000686645508,0.665428876876831,0.576774537563324,0.7624997496604919
1337,400,0.8698984980583191,0.6585381031036377,0.5932798981666565,0.7686929702758789
1337,410,0.85028076171875,0.7093799114227295,0.6164939999580383,0.7200196981430054
1337,420,0.8723669648170471,0.6864413022994995,0.6045699119567871,0.7619644403457642
1337,430,0.8542951345443726,0.6695622801780701,0.5929238200187683,0.7134146690368652
1337,440,0.7729891538619995,0.6261013150215149,0.5783430337905884,0.7507768869400024
1337,450,0.7710188627243042,0.5999622941017151,0.566454291343689,0.7098264098167419
1337,460,0.7985926866531372,0.6494914889335632,0.5709559321403503,0.7764260172843933
1337,470,0.8381332159042358,0.6270847320556641,0.568002462387085,0.7440726161003113
1337,480,0.8828582763671875,0.6759563088417053,0.6156191229820251,0.7786849141120911
1337,490,0.8449268937110901,0.6589288711547852,0.5818132162094116,0.6868358850479126
1337,500,0.7863156199455261,0.6677369475364685,0.5922472476959229,0.7396488189697266
1337,510,0.881490170955658,0.6884756088256836,0.5906239748001099,0.7550017833709717
1337,520,0.7929182648658752,0.6520366668701172,0.6096256375312805,0.7472371459007263
1337,530,0.7707027196884155,0.6423501968383789,0.5862054228782654,0.7515483498573303
1337,540,0.8139063715934753,0.6710233688354492,0.5782657861709595,0.7539234757423401
1337,550,0.7644354701042175,0.62423175573349,0.5457341074943542,0.7280042171478271
1337,560,0.8826836347579956,0.7458341121673584,0.661165714263916,0.789414644241333
1337,570,0.8373173475265503,0.6498233079910278,0.590388298034668,0.8581404089927673
1337,580,0.8363832235336304,0.6864715814590454,0.5959969162940979,0.8415430188179016
1337,590,0.8006754517555237,0.6376376748085022,0.5608615279197693,0.7562192678451538
1337,600,0.7728231549263,0.6752380132675171,0.6189635992050171,0.8414720892906189
1337,610,0.7899997234344482,0.6406262516975403,0.5854997038841248,0.7902041673660278
1337,620,0.8843538761138916,0.6705412864685059,0.6143059134483337,0.8269141316413879
1337,630,0.8526438474655151,0.6465101838111877,0.6063365936279297,0.8518579602241516
1337,640,0.877943217754364,0.6866697072982788,0.6025086641311646,0.8940243124961853
1337,650,0.8208020925521851,0.610730767250061,0.5898743867874146,0.8112858533859253
1337,660,0.8185121417045593,0.6867110133171082,0.586584210395813,0.7665262222290039
1337,670,0.8542115092277527,0.6728399395942688,0.591666579246521,0.8364710807800293
1337,680,0.8369404673576355,0.6957939267158508,0.6167430281639099,0.8991929888725281
1337,690,0.8290787935256958,0.6802958846092224,0.632844090461731,0.8656257390975952
1337,700,0.8348529934883118,0.6636742949485779,0.6156443357467651,0.8695324659347534
1337,710,0.9554158449172974,0.7496144771575928,0.6785137057304382,0.9221458435058594
1337,720,0.8753206133842468,0.70411616563797,0.6698474884033203,0.8799422979354858
1337,730,0.9265069961547852,0.7120230197906494,0.6462375521659851,0.9122060537338257
1337,740,0.9760236740112305,0.6811718344688416,0.6573837399482727,0.9734955430030823
1337,750,1.007248878479004,0.7441836595535278,0.6300225853919983,0.8634378910064697
1337,760,0.8890634775161743,0.7287095189094543,0.6449586749076843,0.9232797026634216
1337,770,0.9618592858314514,0.6934776306152344,0.6713097095489502,0.9244173765182495
1337,780,0.901191771030426,0.6941956281661987,0.6230251789093018,0.9346411228179932
