model,seed,layer,entropy,minimum_expert_fraction,maximum_expert_fraction,shared_private_ratio
Top-4 Equal-active Split,3407,5,2.2324376106262207,0.0343017578125,0.1072998046875,0.2525215446949005
Top-4 Equal-active Split,3407,6,2.2731809616088867,0.0341796875,0.07666015625,0.28111642599105835
Top-4 Equal-active Split,3407,7,2.263294219970703,0.04150390625,0.0899658203125,0.29405468702316284
Top-4 Equal-active Split,3407,8,2.3684213161468506,0.03564453125,0.08251953125,0.31998082995414734
Top-4 Shared expert,1337,1,2.4881792068481445,0.01611328125,0.25,2.975367307662964
Top-4 Shared expert,1337,2,2.452556610107422,0.03027343936264515,0.1521809995174408,0.6684074401855469
Top-4 Shared expert,1337,3,2.3400847911834717,0.0431315116584301,0.1197916716337204,0.6755828857421875
Top-4 Shared expert,1337,4,2.1804933547973633,0.04248046875,0.09765625,0.5665204524993896
Top-4 Shared expert,1337,5,2.156431198120117,0.0458984375,0.0935872420668602,0.5228818655014038
Top-4 Shared expert,1337,6,2.1077463626861572,0.0302734375,0.0934244841337204,0.4828934371471405
Top-4 Shared expert,1337,7,2.127825975418091,0.0340169295668602,0.11572265625,0.5145488381385803
Top-4 Shared expert,1337,8,2.2805514335632324,0.0322265625,0.1373697966337204,0.7255429029464722
Top-4 Shared expert,2027,1,2.5088210105895996,0.01220703125,0.1328125,3.4436252117156982
Top-4 Shared expert,2027,2,2.4697532653808594,0.0392252616584301,0.10498046875,0.7885123491287231
Top-4 Shared expert,2027,3,2.3000288009643555,0.03564453125,0.1062825545668602,0.7775533199310303
Top-4 Shared expert,2027,4,2.166743278503418,0.0504557304084301,0.10009765625,0.569438099861145
Top-4 Shared expert,2027,5,2.1217992305755615,0.0460611991584301,0.11376953125,0.55045086145401
Top-4 Shared expert,2027,6,2.0779950618743896,0.0476888045668602,0.0919596403837204,0.5372361540794373
Top-4 Shared expert,2027,7,2.186673164367676,0.0428059920668602,0.0896809920668602,0.6472775340080261
Top-4 Shared expert,2027,8,2.253772735595703,0.0457356795668602,0.0950520858168602,0.849348783493042
Top-4 Shared expert,3407,1,2.5425455570220947,0.01448567770421505,0.1663411557674408,3.2948405742645264
Top-4 Shared expert,3407,2,2.456904649734497,0.04345703125,0.0887044295668602,0.7187959551811218
Top-4 Shared expert,3407,3,2.3088154792785645,0.04931640625,0.1007487028837204,0.7644324898719788
Top-4 Shared expert,3407,4,2.178511619567871,0.0364583358168602,0.080078125,0.4908176362514496
Top-4 Shared expert,3407,5,2.146322011947632,0.0494791679084301,0.1087239608168602,0.6005351543426514
Top-4 Shared expert,3407,6,2.1545052528381348,0.04296875,0.0875651091337204,0.6117576360702515
Top-4 Shared expert,3407,7,2.189082622528076,0.0467122420668602,0.0911458358168602,0.6652006506919861
Top-4 Shared expert,3407,8,2.321042537689209,0.0380859375,0.0963541716337204,0.9286611676216124
