step,router/layer0/shared_private_ratio,router/layer1/shared_private_ratio,router/layer2/shared_private_ratio,router/layer3/shared_private_ratio
10,0.9972065091133118,0.9947590231895447,1.0061135292053223,0.9797664284706116
20,1.026036262512207,0.9949712157249451,1.0071007013320923,1.0767886638641357
30,1.0278291702270508,0.978656530380249,0.9994606971740723,1.2414077520370483
40,1.040622591972351,0.9684051871299744,1.10872220993042,1.3179473876953125
50,1.0846002101898193,1.0518219470977783,1.1227190494537354,1.2831720113754272
60,1.0638054609298706,0.9511767029762268,1.0062191486358643,1.146955132484436
70,1.0171902179718018,0.8899428248405457,0.979073703289032,1.0835760831832886
80,1.0377494096755981,0.8250848054885864,0.9363850355148315,1.037613034248352
90,1.02025306224823,0.8570613861083984,1.17112135887146,1.0734256505966187
100,0.9805610775947571,0.9116989970207214,0.9446753263473511,1.0053703784942627
110,1.016916036605835,0.8343692421913147,0.8789504170417786,1.1604222059249878
120,1.021026849746704,0.7753936648368835,0.7874630689620972,0.9390484690666199
130,1.0482717752456665,0.9122560620307922,0.7721499800682068,1.0595875978469849
140,1.132716178894043,0.8094943165779114,0.7646856307983398,1.0631730556488037
150,1.0613874197006226,0.7906104922294617,0.7701759934425354,1.0626899003982544
160,0.9051724076271057,0.7370465397834778,0.9214613437652588,0.9023324251174927
170,0.9184764623641968,0.7338141798973083,0.767767608165741,0.8611279129981995
180,0.9065352082252502,0.6953619122505188,0.753236711025238,0.8380577564239502
190,0.9054496884346008,0.5996755361557007,0.7095448970794678,0.8006607890129089
200,0.9379777312278748,0.6917452216148376,0.77871173620224,0.7931958436965942
210,0.8420464396476746,0.6892276406288147,0.7746723890304565,0.7548505663871765
220,0.8811713457107544,0.6893665194511414,0.7031111121177673,0.7590919733047485
230,0.8847665190696716,0.7076451778411865,0.6918057799339294,0.7711665630340576
240,0.7951227426528931,0.6770676970481873,0.6980757713317871,0.7467139363288879
250,0.8444157242774963,0.6594591736793518,0.6728482842445374,0.7740992903709412
260,0.8198596239089966,0.7005873918533325,0.6570093631744385,0.769914448261261
270,0.8207733035087585,0.6859784722328186,0.6568881273269653,0.7473434805870056
280,0.8712015151977539,0.7337273955345154,0.6686760187149048,0.7623015642166138
290,0.8600719571113586,0.695724606513977,0.6530568599700928,0.7987751960754395
300,0.8070927858352661,0.6753727197647095,0.6184729933738708,0.7440882325172424
310,0.7933138012886047,0.6403625011444092,0.636587381362915,0.7407196760177612
320,0.8309661746025085,0.6903232336044312,0.6397482752799988,0.76284259557724
330,0.8412076234817505,0.6790425777435303,0.635469377040863,0.7122569680213928
340,0.9075984954833984,0.7167896628379822,0.6597530245780945,0.7195786833763123
350,0.8642451763153076,0.7060261964797974,0.6268625855445862,0.6852084994316101
360,0.8495835065841675,0.6871498823165894,0.6292585134506226,0.7246466279029846
370,0.8572365045547485,0.6669995784759521,0.6161675453186035,0.7550420165061951
380,0.8277301788330078,0.6782287359237671,0.5790982246398926,0.7303068041801453
390,0.8852736353874207,0.6649244427680969,0.5748326182365417,0.7633048295974731
400,0.8689854741096497,0.6555030345916748,0.5923425555229187,0.7641232013702393
410,0.8498732447624207,0.7055409550666809,0.6153416037559509,0.7155476808547974
420,0.8792333006858826,0.6865720748901367,0.6058024764060974,0.763870358467102
430,0.8508344292640686,0.6668177247047424,0.5928184986114502,0.7123324275016785
440,0.7803435325622559,0.6291717290878296,0.5775718092918396,0.7517006993293762
450,0.774922251701355,0.5965321063995361,0.5682355761528015,0.7147908210754395
460,0.7990705966949463,0.6433579325675964,0.5711255073547363,0.7776349186897278
470,0.8507760763168335,0.6274511814117432,0.5703280568122864,0.7481977939605713
480,0.8770279884338379,0.671868085861206,0.6192541718482971,0.782358705997467
490,0.8438429832458496,0.6561757922172546,0.5868661999702454,0.6892974972724915
500,0.7826727628707886,0.662269651889801,0.5935938954353333,0.743351399898529
510,0.8724476099014282,0.68819260597229,0.5934129357337952,0.750556468963623
520,0.7857558131217957,0.6491273045539856,0.613149106502533,0.7433391809463501
530,0.7697034478187561,0.6342673897743225,0.587104320526123,0.7500515580177307
540,0.8111908435821533,0.6647341847419739,0.5733458399772644,0.752483606338501
550,0.7650798559188843,0.624295175075531,0.5463382601737976,0.7283375859260559
560,0.883014440536499,0.7428320050239563,0.6629854440689087,0.7878256440162659
570,0.8378794193267822,0.6495426297187805,0.5951300263404846,0.851647138595581
580,0.838024914264679,0.689711332321167,0.5973342657089233,0.8364351391792297
590,0.8012893199920654,0.6354008316993713,0.5640084743499756,0.752095639705658
600,0.7718480229377747,0.6731294989585876,0.6195462346076965,0.8421095013618469
610,0.788757860660553,0.6380277276039124,0.5867214202880859,0.7821266651153564
620,0.8943293690681458,0.6654595732688904,0.6148632168769836,0.8244022727012634
630,0.8617234230041504,0.6433723568916321,0.6080666184425354,0.856849193572998
640,0.9029121994972229,0.6794476509094238,0.6043300628662109,0.8955069780349731
650,0.838935136795044,0.6082875728607178,0.5924453735351562,0.8181219100952148
660,0.8435071110725403,0.6778516173362732,0.5903868079185486,0.768379807472229
670,0.8677879571914673,0.6661702990531921,0.5952738523483276,0.8352154493331909
680,0.8578785061836243,0.688305139541626,0.619534969329834,0.9009904861450195
690,0.8535566926002502,0.6663374304771423,0.6379169225692749,0.8667348623275757
700,0.8622457385063171,0.6560543775558472,0.617892324924469,0.8786375522613525
710,0.9728701710700989,0.7502689361572266,0.6764373183250427,0.9258272051811218
720,0.8909174799919128,0.6978499889373779,0.6691116690635681,0.8805392384529114
730,0.9346458911895752,0.7113152742385864,0.6526913642883301,0.9236704707145691
740,0.9932685494422913,0.6738724112510681,0.6518926620483398,0.9726606011390686
750,1.0052893161773682,0.7394728660583496,0.6309188008308411,0.8613637089729309
760,0.8901346325874329,0.7205110788345337,0.6482951045036316,0.9220037460327148
770,0.9647284746170044,0.6913465857505798,0.6652584075927734,0.9322358965873718
780,0.9029117822647095,0.6864889860153198,0.6179338097572327,0.9321563839912415
790,0.9645435214042664,0.6880096793174744,0.6245315074920654,0.9650871753692627
800,0.9839932918548584,0.6544710993766785,0.6470407247543335,0.9563730359077454
810,0.9337965250015259,0.7057802677154541,0.638218104839325,0.9892463684082031
820,1.0601353645324707,0.7486090064048767,0.6701071262359619,0.903030514717102
830,0.9072136878967285,0.6749182939529419,0.634714663028717,0.8636294603347778
840,1.0032356977462769,0.7274375557899475,0.6750556826591492,0.9647454619407654
850,0.9330425262451172,0.6969692707061768,0.6597272753715515,0.9124194383621216
