model,seed,full_lm_loss,last_word_token_loss,last_word_exact_match,full_perplexity,last_word_perplexity
Top-1 Standard,1337,4.950063449582175,6.875065366619176,0.05162041529206288,141.18392169813185,967.8386278560447
Top-1 Standard,2027,4.961767398182671,6.876913431967258,0.04909761304094702,142.84603875384013,969.6289106569878
Top-1 Standard,3407,4.969476054730118,6.893646467738711,0.05162041529206288,143.95144493012668,985.9902516003614
Top-1 Split-25,1337,4.904318388479176,6.4639760595104185,0.07393751212885698,134.87094907684104,641.6070595367636
Top-1 Split-25,2027,4.889357349728725,6.6005328362524285,0.062293809431399186,132.8681588498426,735.4869789784046
Top-1 Split-25,3407,4.896472650377656,6.534357867188029,0.0729672035707355,133.81692712969712,688.3916035335903
Top-4 Equal-active Split,1337,4.768373957840355,6.283240925496297,0.07743062293809432,117.72765610735954,535.5214394975169
Top-4 Equal-active Split,2027,4.77294431153261,6.215274411777153,0.07937124005433728,118.26694456590211,500.3332676955085
Top-4 Equal-active Split,3407,4.773377997536092,6.119587166017181,0.08499902969144188,118.31824640807626,454.67694965244374
Top-4 Shared expert,1337,4.76593574280678,6.167692902212222,0.08771589365418203,117.44096042126824,477.0841556242754
Top-4 Shared expert,2027,4.761389419449015,6.163553408611082,0.08053561032408306,116.90824769944723,475.1133506962691
Top-4 Shared expert,3407,4.756792871954228,6.156579637039376,0.07878905491946439,116.37210652951674,471.81154511829925
