model,validation_lm_loss_mean,total_parameters,activated_parameters,median_tokens_per_second,median_latency_seconds,peak_allocated_bytes
Top-4 Standard,3.11376412709554,235086336,84091392,19315.236390388396,0.05301514199999957,1518923776
Top-4 Practical Split,3.1273793379465737,187900416,74654208,17363.697160469674,0.05897361550000113,1246826496
Top-4 Equal-active Split,3.114295164744059,225649152,84091392,18306.904364060996,0.05593518050000057,1458442240
Top-4 Shared expert,3.0998345216115317,235082240,84087296,19436.931272235342,0.05268321349999994,1522053120
